target,vp,vp_lat,vp_lon,radius,pop_iata,pop_lat,pop_lon
172.67.87.0,gb-man-manycast,55.71667,-2.26667,79.87891150657894,EDI,55.9500007629,-3.3724999428
172.67.87.0,gb-lhr-manycast,51.50853,-0.12574,108.47753414473685,BQH,51.3307991028,0.0324999988
172.67.87.0,nl-ams-manycast,52.378502,4.89998,123.26992516447368,AMX,52.3086013794,4.7638897896
172.67.87.0,fr-cdg-manycast,48.916544,2.384315,124.25608456578948,PAR,49.0127983093,2.5499999523
172.67.87.0,se-sto-manycast,59.38122,17.90033,128.20072217105263,ARN,59.6519012451,17.9186000824
172.66.148.0,gb-man-manycast,55.71667,-2.26667,64.10036108552632,NoCity,55.71667,-2.26667
172.66.148.0,fr-cdg-manycast,48.916544,2.384315,107.49137474342105,PAR,49.0127983093,2.5499999523
172.66.148.0,gb-lhr-manycast,51.50853,-0.12574,130.1730409736842,BQH,51.3307991028,0.0324999988
192.30.45.30,se-sto-manycast,59.38122,17.90033,51.28028886842105,ARN,59.6519012451,17.9186000824
192.30.45.30,nl-ams-manycast,52.378502,4.89998,98.61594013157895,AMX,52.3086013794,4.7638897896
192.30.45.30,gb-lhr-manycast,51.50853,-0.12574,163.70246061842104,BQH,51.3307991028,0.0324999988
199.47.130.0,pl-waw-manycast,52.22977,21.01178,51.28028886842105,WAW,52.1656990051,20.9671001434
199.47.130.0,fr-cdg-manycast,48.916544,2.384315,55.22492647368422,PAR,49.0127983093,2.5499999523
199.47.130.0,gb-lhr-manycast,51.50853,-0.12574,196.2457208618421,BQH,51.3307991028,0.0324999988
203.34.80.0,pl-waw-manycast,52.22977,21.01178,64.10036108552632,WAW,52.1656990051,20.9671001434
203.34.80.0,gb-man-manycast,55.71667,-2.26667,69.03115809210526,NoCity,55.71667,-2.26667
203.34.80.0,fr-cdg-manycast,48.916544,2.384315,81.85123030921052,PAR,49.0127983093,2.5499999523
203.34.80.0,se-sto-manycast,59.38122,17.90033,83.8235491118421,ARN,59.6519012451,17.9186000824
203.34.80.0,nl-ams-manycast,52.378502,4.89998,119.32528755921052,AMX,52.3086013794,4.7638897896
203.34.80.0,gb-lhr-manycast,51.50853,-0.12574,133.13151917763156,BQH,51.3307991028,0.0324999988
23.53.220.36,pl-waw-manycast,52.22977,21.01178,71.00347689473682,WAW,52.1656990051,20.9671001434
23.53.220.36,gb-lhr-manycast,51.50853,-0.12574,123.26992516447368,BQH,51.3307991028,0.0324999988
23.227.51.0,fr-cdg-manycast,48.916544,2.384315,32.54326024342105,PAR,49.0127983093,2.5499999523
23.227.51.0,pl-waw-manycast,52.22977,21.01178,47.33565126315789,WAW,52.1656990051,20.9671001434
23.227.51.0,gb-lhr-manycast,51.50853,-0.12574,80.86507090789473,BQH,51.3307991028,0.0324999988
23.227.51.0,nl-ams-manycast,52.378502,4.89998,81.85123030921052,AMX,52.3086013794,4.7638897896
23.227.51.0,gb-man-manycast,55.71667,-2.26667,467.4395562236842,LTN,51.8746986389,-0.3683330119
34.111.201.0,fr-cdg-manycast,48.916544,2.384315,34.51557904605263,PAR,49.0127983093,2.5499999523
34.111.201.0,gb-lhr-manycast,51.50853,-0.12574,73.9619550986842,BQH,51.3307991028,0.0324999988
34.102.135.0,fr-cdg-manycast,48.916544,2.384315,45.363332460526316,PAR,49.0127983093,2.5499999523
34.102.135.0,gb-man-manycast,55.71667,-2.26667,462.5087592171053,LTN,51.8746986389,-0.3683330119
34.144.211.0,fr-cdg-manycast,48.916544,2.384315,31.557100842105267,PAR,49.0127983093,2.5499999523
34.144.211.0,gb-man-manycast,55.71667,-2.26667,610.4326694144737,BQH,51.3307991028,0.0324999988
34.110.174.0,gb-lhr-manycast,51.50853,-0.12574,76.92043330263158,BQH,51.3307991028,0.0324999988
34.110.174.0,pl-waw-manycast,52.22977,21.01178,149.896229,WAW,52.1656990051,20.9671001434
34.110.174.0,fr-cdg-manycast,48.916544,2.384315,156.79934480921054,PAR,49.0127983093,2.5499999523
34.110.221.0,fr-cdg-manycast,48.916544,2.384315,33.52941964473684,PAR,49.0127983093,2.5499999523
34.110.221.0,nl-ams-manycast,52.378502,4.89998,90.72666492105263,AMX,52.3086013794,4.7638897896
34.110.221.0,gb-lhr-manycast,51.50853,-0.12574,144.96543199342105,BQH,51.3307991028,0.0324999988
34.110.221.0,pl-waw-manycast,52.22977,21.01178,152.85470720394738,WAW,52.1656990051,20.9671001434
34.149.203.0,pl-waw-manycast,52.22977,21.01178,56.211085874999995,WAW,52.1656990051,20.9671001434
34.149.203.0,fr-cdg-manycast,48.916544,2.384315,57.19724527631579,PAR,49.0127983093,2.5499999523
34.149.203.0,gb-lhr-manycast,51.50853,-0.12574,71.00347689473682,BQH,51.3307991028,0.0324999988
34.149.203.0,se-sto-manycast,59.38122,17.90033,91.71282432236842,ARN,59.6519012451,17.9186000824
34.149.203.0,nl-ams-manycast,52.378502,4.89998,188.3564456513158,BRU,50.9014015198,4.4844398499
34.149.117.0,fr-cdg-manycast,48.916544,2.384315,35.50173844736841,PAR,49.0127983093,2.5499999523
34.149.117.0,pl-waw-manycast,52.22977,21.01178,47.33565126315789,WAW,52.1656990051,20.9671001434
34.149.117.0,nl-ams-manycast,52.378502,4.89998,90.72666492105263,AMX,52.3086013794,4.7638897896
34.149.117.0,gb-lhr-manycast,51.50853,-0.12574,144.96543199342105,BQH,51.3307991028,0.0324999988
34.149.117.0,se-sto-manycast,59.38122,17.90033,201.17651786842103,ARN,59.6519012451,17.9186000824
34.49.30.0,pl-waw-manycast,52.22977,21.01178,55.22492647368422,WAW,52.1656990051,20.9671001434
34.49.30.0,fr-cdg-manycast,48.916544,2.384315,60.155723480263156,PAR,49.0127983093,2.5499999523
34.49.30.0,gb-lhr-manycast,51.50853,-0.12574,145.95159139473682,BQH,51.3307991028,0.0324999988
34.49.30.0,nl-ams-manycast,52.378502,4.89998,184.41180804605264,BRU,50.9014015198,4.4844398499
34.49.30.0,gb-man-manycast,55.71667,-2.26667,434.8962959802631,DUB,53.4212989807,-6.270070076
34.8.103.100,fr-cdg-manycast,48.916544,2.384315,48.32181066447368,PAR,49.0127983093,2.5499999523
34.8.103.100,pl-waw-manycast,52.22977,21.01178,65.0865204868421,WAW,52.1656990051,20.9671001434
34.8.103.100,gb-lhr-manycast,51.50853,-0.12574,73.9619550986842,BQH,51.3307991028,0.0324999988
34.49.4.0,pl-waw-manycast,52.22977,21.01178,60.155723480263156,WAW,52.1656990051,20.9671001434
34.49.4.0,gb-lhr-manycast,51.50853,-0.12574,146.93775079605263,BQH,51.3307991028,0.0324999988
34.49.4.0,fr-cdg-manycast,48.916544,2.384315,173.56405463157893,PAR,49.0127983093,2.5499999523
34.49.4.0,gb-man-manycast,55.71667,-2.26667,428.9793395723683,DUB,53.4212989807,-6.270070076
34.43.189.0,fr-cdg-manycast,48.916544,2.384315,50.29412946710526,PAR,49.0127983093,2.5499999523
34.43.189.0,pl-waw-manycast,52.22977,21.01178,71.98963629605262,WAW,52.1656990051,20.9671001434
34.43.189.0,nl-ams-manycast,52.378502,4.89998,76.92043330263158,AMX,52.3086013794,4.7638897896
34.43.189.0,gb-lhr-manycast,51.50853,-0.12574,143.97927259210525,BQH,51.3307991028,0.0324999988
34.98.124.0,fr-cdg-manycast,48.916544,2.384315,48.32181066447368,PAR,49.0127983093,2.5499999523
34.98.124.0,gb-lhr-manycast,51.50853,-0.12574,141.0207943881579,BQH,51.3307991028,0.0324999988
34.54.100.0,fr-cdg-manycast,48.916544,2.384315,48.32181066447368,PAR,49.0127983093,2.5499999523
34.54.100.0,nl-ams-manycast,52.378502,4.89998,107.49137474342105,AMX,52.3086013794,4.7638897896
34.54.100.0,gb-lhr-manycast,51.50853,-0.12574,144.96543199342105,BQH,51.3307991028,0.0324999988
34.54.100.0,pl-waw-manycast,52.22977,21.01178,264.2907195526316,WAW,52.1656990051,20.9671001434
34.54.100.0,gb-man-manycast,55.71667,-2.26667,458.5641216118421,LTN,51.8746986389,-0.3683330119
34.8.216.100,fr-cdg-manycast,48.916544,2.384315,35.50173844736841,PAR,49.0127983093,2.5499999523
34.8.216.100,gb-lhr-manycast,51.50853,-0.12574,74.9481145,BQH,51.3307991028,0.0324999988
34.8.216.100,nl-ams-manycast,52.378502,4.89998,92.6989837236842,AMX,52.3086013794,4.7638897896
34.8.216.100,pl-waw-manycast,52.22977,21.01178,153.84086660526316,WAW,52.1656990051,20.9671001434
34.8.216.100,gb-man-manycast,55.71667,-2.26667,464.4810780197368,LTN,51.8746986389,-0.3683330119
34.8.10.100,pl-waw-manycast,52.22977,21.01178,74.9481145,WAW,52.1656990051,20.9671001434
